City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Albany,US,42.6001,-73.9662,48.0,66,38,3.0,scattered clouds
80,Qaanaaq,GL,77.484,-69.3632,28.44,64,5,8.9,clear sky
81,Zakamensk,RU,50.3741,103.2863,35.74,56,98,10.42,overcast clouds
82,Mangai,CD,-4.05,19.5333,69.31,98,100,2.15,overcast clouds
83,Swellendam,ZA,-34.0226,20.4417,50.0,93,100,4.61,overcast clouds
84,Senador Jose Porfirio,BR,-2.5908,-51.9542,74.34,93,81,1.5,light rain
85,Sinnamary,GF,5.3833,-52.95,77.31,90,100,9.46,overcast clouds
86,Labuhan,ID,-6.8844,112.2051,85.44,65,0,11.77,clear sky
87,Karla,EE,59.3723,24.9275,34.0,93,90,8.05,light rain and snow
88,Castro,BR,-24.7911,-50.0119,56.16,95,98,2.91,overcast clouds
89,Seoul,KR,37.5683,126.9778,68.0,63,75,11.5,broken clouds
90,Saint-Philippe,RE,-21.3585,55.7679,77.0,65,0,20.71,light rain
91,Santo Domingo,DO,18.5001,-69.9886,80.01,78,20,4.61,few clouds
92,Borogontsy,RU,62.6683,131.1683,34.48,99,100,5.79,overcast clouds
93,Butaritari,KI,3.0707,172.7902,83.21,73,17,11.56,few clouds
94,Bengkulu,ID,-3.8004,102.2655,84.22,67,42,4.88,scattered clouds
95,Berezovyy,RU,51.6667,135.7,53.76,30,100,3.56,overcast clouds
96,Hithadhoo,MV,-0.6,73.0833,82.6,67,63,4.5,broken clouds
97,East London,ZA,-33.0153,27.9116,67.59,46,86,9.24,overcast clouds
98,Norman Wells,CA,65.282,-126.8329,33.8,44,20,13.8,few clouds
99,Mehran,IR,33.1222,46.1646,60.8,36,0,4.61,clear sky
100,Balabac,PH,7.9868,117.0645,84.67,69,74,7.14,broken clouds
101,Lebu,CL,-37.6167,-73.65,54.41,92,28,9.37,scattered clouds
102,Victoria,HK,22.2855,114.1577,75.0,79,100,1.99,overcast clouds
103,Noyabrsk,RU,63.1994,75.4507,34.07,99,100,15.19,overcast clouds
104,Saskylakh,RU,71.9167,114.0833,14.61,90,100,22.44,overcast clouds
105,Kavaratti,IN,10.5669,72.642,84.0,73,22,6.76,few clouds
106,Planaltina,BR,-15.4528,-47.6142,69.8,88,75,2.3,broken clouds
107,Mendota,US,36.7536,-120.3816,57.2,72,90,3.83,overcast clouds
108,Pale,BA,43.8161,18.5694,39.2,70,0,2.06,clear sky
109,Sioux Lookout,CA,50.1001,-91.917,39.2,38,75,2.3,broken clouds
110,Beloha,MG,-25.1667,45.05,69.37,77,0,5.12,clear sky
111,Hailey,US,43.5196,-114.3153,42.8,70,90,5.75,overcast clouds
112,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,79,90,11.5,snow
113,Nianzishan,CN,47.5167,122.8833,65.73,14,100,20.27,overcast clouds
114,Shenzhen,CN,22.5455,114.0683,77.0,88,100,7.47,overcast clouds
115,Sungaipenuh,ID,-2.0833,101.3833,74.55,74,100,0.38,overcast clouds
116,Saquarema,BR,-22.92,-42.5103,75.2,88,0,1.14,clear sky
117,Vardo,NO,70.3705,31.1107,28.4,69,75,9.22,broken clouds
118,Puerto Ayora,EC,-0.7393,-90.3518,75.11,85,6,6.71,clear sky
119,Yayva,RU,59.3303,57.2641,36.0,96,79,3.0,broken clouds
120,Isangel,VU,-19.55,169.2667,82.4,78,75,9.22,broken clouds
121,Paka,MY,4.6374,103.4368,87.8,70,20,2.3,few clouds
122,Natal,BR,-5.795,-35.2094,80.6,78,20,6.91,few clouds
123,Te Anau,NZ,-45.4167,167.7167,47.52,81,97,7.0,overcast clouds
124,Torbay,CA,47.6666,-52.7314,41.0,65,1,11.5,clear sky
125,Touros,BR,-5.1989,-35.4608,77.0,88,0,4.61,clear sky
126,Chuy,UY,-33.6971,-53.4616,60.03,77,54,8.23,broken clouds
127,Katsuura,JP,35.1333,140.3,60.01,38,20,11.5,few clouds
128,Puerto Madryn,AR,-42.7692,-65.0385,60.08,52,10,21.09,clear sky
129,Chiang Klang,TH,19.2938,100.8617,84.0,83,40,1.14,scattered clouds
130,Mutare,ZW,-18.9707,32.6709,57.65,81,2,2.13,clear sky
131,Itoman,JP,26.1247,127.6694,77.0,47,20,12.66,few clouds
132,Boke,GN,10.9409,-14.2967,73.15,79,47,4.14,scattered clouds
133,Saint George,US,37.1041,-113.5841,75.2,16,1,23.02,clear sky
134,Moffat,GB,55.3323,-3.4454,41.0,79,75,1.01,broken clouds
135,Naifaru,MV,5.4444,73.3657,83.25,71,8,3.76,clear sky
136,Ostrovnoy,RU,68.0531,39.5131,31.44,95,100,23.13,light snow
137,Cabedelo,BR,-6.9811,-34.8339,77.0,88,20,4.61,few clouds
138,Carupano,VE,10.6678,-63.2585,75.09,88,96,9.53,overcast clouds
139,Harper,LR,4.375,-7.7169,75.56,88,97,5.66,overcast clouds
140,Necochea,AR,-38.5473,-58.7368,55.0,88,49,4.65,scattered clouds
141,Beckley,US,37.7782,-81.1882,48.2,71,1,6.91,clear sky
142,Khatanga,RU,71.9667,102.5,15.85,88,100,16.13,overcast clouds
143,Riyadh,SA,24.6877,46.7219,78.8,13,0,4.61,clear sky
144,Mingguang,CN,32.7802,117.9638,61.21,90,100,5.66,overcast clouds
145,Talnakh,RU,69.4865,88.3972,8.47,87,98,8.16,overcast clouds
146,Tasiilaq,GL,65.6145,-37.6368,39.2,65,75,16.11,broken clouds
147,Oktyabrskiy,RU,54.4815,53.471,39.22,69,0,14.43,clear sky
148,Pevek,RU,69.7008,170.3133,25.27,85,99,1.5,overcast clouds
149,Henderson,US,36.0397,-114.9819,75.2,19,1,10.36,clear sky
150,Misratah,LY,32.3754,15.0925,61.11,86,16,10.71,few clouds
151,Karratha,AU,-20.7377,116.8463,87.69,21,0,14.05,clear sky
152,Beisfjord,NO,68.3751,17.5988,32.0,93,90,1.14,overcast clouds
153,Asau,RO,46.4333,26.4,39.0,65,57,1.23,broken clouds
154,Clyde River,CA,70.4692,-68.5914,23.0,93,90,18.41,overcast clouds
155,Linjiang,CN,41.8069,126.9078,66.02,18,100,7.67,overcast clouds
