City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kinshasa,CD,2021-04-24 23:13:36,-4.3246,15.3215,78.8,88,100,4.61
68,Chernyshevskiy,RU,2021-04-24 23:13:36,63.0128,112.4714,29.21,98,100,3.74
69,Kamarion,GR,2021-04-24 23:13:36,36.8,25.8167,61.0,66,96,24.0
70,Saldanha,ZA,2021-04-24 23:13:37,-33.0117,17.9442,59.0,82,96,6.53
71,Kuching,MY,2021-04-24 23:09:27,1.55,110.3333,75.2,94,20,2.95
72,Kodiak,US,2021-04-24 23:10:55,57.79,-152.4072,44.6,81,90,9.22
73,Batsfjord,NO,2021-04-24 23:13:37,70.6345,29.7185,32.67,83,100,13.15
74,Longyearbyen,SJ,2021-04-24 23:13:38,78.2186,15.6401,23.0,80,75,4.61
75,Bambous Virieux,MU,2021-04-24 23:13:38,-20.3428,57.7575,78.8,78,75,14.97
76,Portland,US,2021-04-24 23:09:06,45.5234,-122.6762,54.0,76,90,6.91
77,Svetlogorsk,BY,2021-04-24 23:13:38,52.6333,29.7333,32.59,82,66,9.71
78,Iisalmi,FI,2021-04-24 23:13:39,63.5592,27.1907,33.8,93,0,4.61
79,Luganville,VU,2021-04-24 23:13:39,-15.5333,167.1667,82.69,81,66,10.13
80,Mountain Home,US,2021-04-24 23:13:39,43.133,-115.6912,57.2,62,40,9.22
81,Mwanza,TZ,2021-04-24 23:13:40,-2.5167,32.9,68.83,85,97,5.73
82,Flin Flon,CA,2021-04-24 23:10:58,54.7682,-101.865,32.0,32,75,10.36
83,Mount Isa,AU,2021-04-24 23:13:40,-20.7333,139.5,75.2,50,6,13.8
84,Sitka,US,2021-04-24 23:13:40,57.0531,-135.33,62.6,19,20,8.05
85,Victoria,HK,2021-04-24 23:09:28,22.2855,114.1577,78.01,85,86,1.01
86,Mikuni,JP,2021-04-24 23:13:41,36.2171,136.1519,55.4,88,75,6.91
87,Saint Anthony,US,2021-04-24 23:13:41,45.0205,-93.218,50.0,32,40,11.5
88,Arlit,NE,2021-04-24 23:09:38,18.7369,7.3853,89.33,11,33,5.73
89,Pacific Grove,US,2021-04-24 23:13:42,36.6177,-121.9166,62.6,51,75,16.11
90,Clonakilty,IE,2021-04-24 23:13:42,51.6231,-8.8706,48.2,61,40,9.22
91,Saint-Philippe,RE,2021-04-24 23:13:42,-21.3585,55.7679,77.0,78,90,23.02
92,Lompoc,US,2021-04-24 23:10:36,34.6391,-120.4579,59.0,63,94,12.66
93,Esperance,AU,2021-04-24 23:12:15,-33.8667,121.9,55.4,88,50,17.27
94,Ewa Beach,US,2021-04-24 23:13:43,21.3156,-158.0072,84.2,45,75,10.36
95,Zapolyarnyy,RU,2021-04-24 23:13:43,69.4154,30.8136,32.0,93,75,14.97
96,Monaragala,LK,2021-04-24 23:13:43,6.8714,81.3487,73.38,92,29,2.35
97,Oistins,BB,2021-04-24 23:13:44,13.0667,-59.5333,78.8,61,40,18.41
98,Najran,SA,2021-04-24 23:13:44,17.4924,44.1277,80.6,28,75,6.91
99,Port-Cartier,CA,2021-04-24 23:13:44,50.0334,-66.8654,44.01,70,75,12.66
100,New Norfolk,AU,2021-04-24 23:09:17,-42.7826,147.0587,54.0,71,91,3.0
101,Kapaa,US,2021-04-24 23:13:45,22.0752,-159.319,80.6,61,40,17.27
102,Ixtapa,MX,2021-04-24 23:13:45,20.7,-105.2,80.6,69,90,11.5
103,Codrington,AU,2021-04-24 23:12:11,-38.2667,141.9667,54.91,84,94,5.08
104,Abonnema,NG,2021-04-24 23:13:46,4.7084,6.7931,78.19,84,98,3.2
105,Port Macquarie,AU,2021-04-24 23:13:03,-31.4333,152.9167,64.0,74,0,1.01
106,Joshimath,IN,2021-04-24 23:13:46,30.5667,79.5667,45.43,48,48,11.72
107,Airai,TL,2021-04-24 23:11:18,-8.9266,125.4092,61.47,84,64,3.06
108,Monrovia,LR,2021-04-24 23:13:46,6.3005,-10.7969,82.18,80,52,7.36
109,Eureka,US,2021-04-24 23:13:47,40.8021,-124.1637,55.0,70,100,10.0
110,Caravelas,BR,2021-04-24 23:09:33,-17.7125,-39.2481,74.75,84,27,4.79
111,Papineauville,CA,2021-04-24 23:13:47,45.6168,-75.016,64.4,31,83,4.61
112,Ziro,IN,2021-04-24 23:13:47,27.6333,93.8333,48.76,81,82,3.04
113,Faanui,PF,2021-04-24 23:13:48,-16.4833,-151.75,80.31,69,100,9.48
114,Arraial Do Cabo,BR,2021-04-24 23:13:48,-22.9661,-42.0278,75.2,83,40,2.3
115,Santa Cruz Del Sur,CU,2021-04-24 23:13:48,20.7147,-77.9956,82.4,65,5,7.11
116,Mount Gambier,AU,2021-04-24 23:13:49,-37.8333,140.7667,51.8,100,90,4.61
117,Ilulissat,GL,2021-04-24 23:12:32,69.2167,-51.1,46.4,49,11,19.57
118,Comodoro Rivadavia,AR,2021-04-24 23:10:41,-45.8667,-67.5,55.4,76,0,2.3
119,Mwinilunga,ZM,2021-04-24 23:13:49,-11.7358,24.4293,61.14,89,93,2.26
120,Shache,CN,2021-04-24 23:13:50,38.4167,77.2406,59.45,10,100,5.97
121,Ternate,ID,2021-04-24 23:13:50,0.8,127.4,82.56,76,55,6.08
122,Chimbarongo,CL,2021-04-24 23:13:50,-34.7,-71.05,59.0,63,0,4.61
123,Acajutla,SV,2021-04-24 23:12:39,13.5928,-89.8275,86.0,54,20,6.91
124,Shingu,JP,2021-04-24 23:13:51,33.7333,135.9833,60.8,67,40,3.44
125,Nikolskoye,RU,2021-04-24 23:13:51,59.7035,30.7861,37.0,75,20,4.47
126,Dikson,RU,2021-04-24 23:13:52,73.5069,80.5464,1.98,99,59,7.45
127,Koumac,NC,2021-04-24 23:13:52,-20.5667,164.2833,78.04,80,98,11.65
128,Veraval,IN,2021-04-24 23:13:53,20.9,70.3667,80.44,76,100,15.01
129,Lima,PE,2021-04-24 23:10:26,-12.0432,-77.0282,64.99,82,75,14.97
130,Sao Joao Da Barra,BR,2021-04-24 23:13:53,-21.6403,-41.0511,72.03,84,9,5.41
131,San Patricio,US,2021-04-24 23:11:27,28.017,-97.5169,93.0,19,20,21.85
132,Rio Grande,BR,2021-04-24 23:13:53,-32.035,-52.0986,66.0,93,100,5.68
133,Qasigiannguit,GL,2021-04-24 23:12:55,68.8193,-51.1922,46.4,49,11,19.57
134,La Rioja,ES,2021-04-24 23:13:54,42.25,-2.5,57.0,87,0,9.22
135,Norman Wells,CA,2021-04-24 23:11:48,65.282,-126.8329,39.2,45,75,10.36
136,Nanortalik,GL,2021-04-24 23:10:04,60.1432,-45.2371,41.86,74,100,15.12
137,Madimba,TZ,2021-04-24 23:13:54,-10.4,40.3333,74.79,92,100,7.76
138,Cairns,AU,2021-04-24 23:13:55,-16.9167,145.7667,75.2,94,90,13.8
139,Gerash,IR,2021-04-24 23:13:55,27.6652,54.1371,75.49,25,62,4.65
140,Gat,IL,2021-04-24 23:12:40,31.61,34.7642,64.99,100,17,5.37
141,Esqueda,MX,2021-04-24 23:13:55,30.7167,-109.5833,81.77,9,4,12.68
142,Lumphat,KH,2021-04-24 23:13:56,13.4878,106.9816,76.57,84,71,1.43
143,Talnakh,RU,2021-04-24 23:10:40,69.4865,88.3972,17.44,93,99,11.97
144,Iqaluit,CA,2021-04-24 23:09:00,63.7506,-68.5145,32.0,86,75,4.61
145,Port Lincoln,AU,2021-04-24 23:13:57,-34.7333,135.8667,60.44,63,0,1.3
146,Manuk Mangkaw,PH,2021-04-24 23:13:57,4.8,119.85,82.35,73,100,3.65
147,Mar Del Plata,AR,2021-04-24 23:10:52,-38.0023,-57.5575,59.0,72,40,6.91
148,Samarai,PG,2021-04-24 23:13:57,-10.6167,150.6667,84.07,73,41,15.55
149,Puerto Ayora,EC,2021-04-24 23:09:51,-0.7393,-90.3518,80.6,78,40,13.8
150,Narsaq,GL,2021-04-24 23:10:24,60.9167,-46.05,53.6,32,75,28.77
151,Yen Bai,VN,2021-04-24 23:13:58,21.7,104.8667,78.17,96,100,1.72
152,Wagga Wagga,AU,2021-04-24 23:13:58,-35.1167,147.3667,52.0,71,49,2.3
153,Vila Franca Do Campo,PT,2021-04-24 23:10:34,37.7167,-25.4333,59.0,82,75,19.57
154,Ribeira Grande,PT,2021-04-24 23:13:59,38.5167,-28.7,59.77,73,96,22.59
155,Tono,JP,2021-04-24 23:13:59,39.3167,141.5333,51.8,71,75,2.3
156,Marrakesh,MA,2021-04-24 23:13:53,31.6315,-8.0083,62.6,63,75,5.75
157,Bogotol,RU,2021-04-24 23:13:59,56.2078,89.5342,31.69,99,100,6.55
158,Hami,CN,2021-04-24 23:14:00,42.8,93.45,42.66,33,98,23.02
159,Boma,GH,2021-04-24 23:14:00,7.0805,-2.1697,72.61,98,85,3.09
160,Lebu,CL,2021-04-24 23:12:11,-37.6167,-73.65,54.23,80,0,15.12
161,Beroroha,MG,2021-04-24 23:14:00,-21.6667,45.1667,72.23,68,0,4.0
162,Valdivia,CL,2021-04-24 23:13:23,-39.8142,-73.2459,51.8,100,0,2.3
163,Salitral,PE,2021-04-24 23:14:01,-4.8572,-80.6811,84.38,46,28,16.24
164,Barrow,US,2021-04-24 23:12:48,71.2906,-156.7887,30.2,80,1,5.75
165,Spring Valley,US,2021-04-24 23:14:01,36.108,-115.245,87.8,10,75,20.71
166,Jhunjhunun,IN,2021-04-24 23:14:02,28.1307,75.4014,74.43,18,0,6.13
167,Sao Jose Do Belmonte,BR,2021-04-24 23:14:02,-7.8614,-38.7597,76.75,58,50,6.33
